competition_name,team,opp,team_goals,opp_goals,attendance,venue,referee
Premier League,Manchester City,Burnley,3,0,21572,Turf Moor,Craig Pawson
Premier League,Manchester City,Newcastle Utd,1,0,53419,Etihad Stadium,Robert Jones
Premier League,Manchester City,Sheffield Utd,2,1,31336,Bramall Lane,Jarred Gillett
Premier League,Manchester City,Fulham,5,1,52899,Etihad Stadium,Michael Oliver
Premier League,Manchester City,West Ham,3,1,62475,London Stadium,Andy Madley
Premier League,Manchester City,Nott'ham Forest,2,0,53413,Etihad Stadium,Anthony Taylor
Premier League,Manchester City,Wolves,1,2,31415,Molineux Stadium,Craig Pawson
Premier League,Manchester City,Arsenal,0,1,60233,Emirates Stadium,Michael Oliver
Premier League,Manchester City,Brighton,2,1,53466,Etihad Stadium,Robert Jones
Premier League,Manchester City,Manchester Utd,3,0,73502,Old Trafford,Paul Tierney
Premier League,Manchester City,Bournemouth,6,1,53358,Etihad Stadium,Craig Pawson
Premier League,Manchester City,Chelsea,4,4,39532,Stamford Bridge,Anthony Taylor
Premier League,Manchester City,Liverpool,1,1,53289,Etihad Stadium,Chris Kavanagh
Premier League,Manchester City,Tottenham,3,3,53473,Etihad Stadium,Simon Hooper
Premier League,Manchester City,Aston Villa,0,1,41421,Villa Park,John Brooks
Premier League,Manchester City,Luton Town,2,1,11047,Kenilworth Road Stadium,Tim Robinson
Premier League,Manchester City,Crystal Palace,2,2,53248,Etihad Stadium,Paul Tierney
Premier League,Manchester City,Brentford,1,0,52247,Etihad Stadium,Darren England
Premier League,Manchester City,Everton,3,1,39327,Goodison Park,John Brooks
Premier League,Manchester City,Sheffield Utd,2,0,53108,Etihad Stadium,David Coote
Premier League,Manchester City,Newcastle Utd,3,2,52190,St James' Park,Chris Kavanagh
Premier League,Manchester City,Burnley,3,1,52143,Etihad Stadium,Samuel Barrott
Premier League,Manchester City,Brentford,3,1,17096,Gtech Community Stadium,Jarred Gillett
Premier League,Manchester City,Everton,2,0,52187,Etihad Stadium,John Brooks
Premier League,Manchester City,Chelsea,1,1,52178,Etihad Stadium,Andy Madley
Premier League,Manchester City,Bournemouth,1,0,11184,Vitality Stadium,Jarred Gillett
Premier League,Manchester City,Manchester Utd,3,1,53514,Etihad Stadium,Andy Madley
Premier League,Manchester City,Liverpool,1,1,59947,Anfield,Michael Oliver
Premier League,Manchester City,Brighton,4,0,31596,The American Express Community Stadium,Jarred Gillett
Premier League,Manchester City,Arsenal,0,0,52178,Etihad Stadium,Anthony Taylor
Premier League,Manchester City,Aston Villa,4,1,53422,Etihad Stadium,Darren England
Premier League,Manchester City,Crystal Palace,4,2,25132,Selhurst Park,Paul Tierney
Premier League,Manchester City,Luton Town,5,1,52149,Etihad Stadium,John Brooks
Premier League,Manchester City,Tottenham,2,0,61065,Tottenham Hotspur Stadium,Chris Kavanagh
Premier League,Manchester City,Nott'ham Forest,2,0,29677,The City Ground,Simon Hooper
Premier League,Manchester City,Wolves,5,1,52439,Etihad Stadium,Craig Pawson
Premier League,Manchester City,Fulham,4,0,24418,Craven Cottage,Anthony Taylor
Premier League,Manchester City,West Ham,3,1,55097,Etihad Stadium,John Brooks
